Offense,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Season #G,Season SOS
NYJ,9.899722472,0,4.979977317,6.655218151,6.432062846,1.005434277,5.951084734,7.076053365,4.237763605,,7.076053365,5.570382052,4.210989124,4.811308974,10,7.005342134,8.009716659,6.432062846,17,6.3
DET,4.710485405,5.561069392,4.210989124,8.009716659,7.076053365,,2.003596143,6.432062846,0,5.570382052,6.306150633,4.811308974,7.005342134,4.210989124,6.863058094,8.169465472,5.570382052,0.99535203,17,4.6
GB,4.210989124,5.570382052,5.144716935,7.076053365,6.306150633,6.932576255,5.561069392,4.811308974,10,2.003596143,7.351424135,4.710485405,5.570382052,,1.473341663,6.432062846,4.210989124,10,17,4.6
NE,6.432062846,6.655218151,9.899722472,0.99535203,10,0,5.570382052,6.863058094,4.812442169,,6.863058094,4.210989124,4.811308974,8.437336245,4.509521021,4.979977317,6.432062846,4.811308974,17,5.1
BLT,6.863058094,6.432062846,7.076053365,4.811308974,4.979977317,6.370027696,0,5.144716935,1.900853209,,8.169465472,7.005342134,5.951084734,6.655218151,0,6.980016932,6.655218151,4.979977317,17,5.2
NO,6.980016932,5.144716935,8.169465472,4.210989124,8.009716659,5.030421137,8.437336245,4.509521021,9.888638036,6.655218151,1.473341663,2.331870028,5.144716935,,6.980016932,0,4.710485405,8.169465472,17,3.7
SEA,5.951084734,2.331870028,6.980016932,10,2.707003429,8.522800784,6.571323121,6.306150633,8.264603169,5.144716935,,4.509521021,1.473341663,8.169465472,2.331870028,4.303424648,6.863058094,1.473341663,17,5.5
PIT,4.979977317,7.076053365,0,6.863058094,4.811308974,5.196829456,6.432062846,4.710485405,,2.707003429,4.979977317,5.328786791,6.980016932,9.899722472,8.169465472,4.509521021,9.899722472,0,17,4.6
MIN,0.99535203,4.710485405,10,2.707003429,5.570382052,6.497215315,,8.437336245,5.070400728,4.811308974,2.003596143,7.076053365,6.863058094,10,5.328786791,6.306150633,0.99535203,5.570382052,17,4.3
ATL,2.707003429,1.473341663,8.009716659,0,5.144716935,2.355490303,4.979977317,8.169465472,6.192325463,8.169465472,5.570382052,5.561069392,6.655218151,,2.707003429,9.899722472,8.437336245,5.144716935,17,3.7
SF,5.570382052,8.009716659,5.951084734,1.473341663,8.169465472,7.050719808,4.303424648,1.473341663,,6.571323121,8.437336245,2.707003429,6.432062846,5.144716935,8.009716659,5.561069392,4.509521021,8.437336245,17,5.6
