"Offense","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","Season #G","Season SOS"
"CIN","4.163461388813911","0.591874967628781","5.229512204305321","5.244396758713982","5.449904886295159","4.1458392252297","8.4862845047194","0.43235758034162136","5.34722906211779","","4.163461388813911","4.0875965853650955","3.8240440336913606","0.43235758034162136","4.820695633133519","4.1559805781526205","2.3429579370494964","5.449904886295159","17","3.6602608271501595"
"BUF","0","4.0875965853650955","5.244396758713982","5.449904886295159","4.163461388813911","4.471660732043607","","0.6159645260517114","5.229512204305321","2.691782417310586","0.43235758034162136","10","4.1559805781526205","5.229512204305321","5.244396758713982","3.8239470234850454","4.275257247230236","4.1559805781526205","17","1.7457676698002844"
"DEN","6.936231749438234","6.171568241087659","1.2209576812686382","3.119319667361771","3.3983044489677807","6.579115459233212","5.013935945293184","5.033045317085362","","4.0875965853650955","3.119319667361771","5.34722906211779","5.449904886295159","3.8240440336913606","5.581107831046644","0","3.8240440336913606","5.626282655694554","17","5.294619144572802"
"CLV","5.34722906211779","5.229512204305321","4.163461388813911","8.551731141605913","5.626282655694554","4.859812018566544","5.244288076281068","4.275257247230236","","5.244396758713982","2.3429579370494964","4.820695633133519","6.171568241087659","4.275257247230236","5.449904886295159","3.545410241048816","5.422903697974042","4.163461388813911","17","10"
"TB","0.591874967628781","3.545410241048816","0.6159645260517114","3.8240440336913606","8.551731141605913","4.868559733546608","5.136972376473553","5.449904886295159","0","6.936231749438234","","0.43235758034162136","3.545410241048816","1.2209576812686382","4.275257247230236","5.581107831046644","5.34722906211779","8.551731141605913","17","0"
"KC","5.581107831046644","5.626282655694554","3.3983044489677807","4.820695633133519","3.119319667361771","2.739746956789286","0.824236594907332","","4.0875965853650955","5.033045317085362","5.626282655694554","0","4.275257247230236","5.168696367960086","6.171568241087659","6.936231749438234","5.168696367960086","3.119319667361771","17","3.6576706303447843"
"IND","6.171568241087659","5.033045317085362","3.8240440336913606","4.0875965853650955","5.168696367960086","5.885411074956007","3.8204176584956318","5.422903697974042","4.1559805781526205","3.119319667361771","2.6355624453031745","4.163461388813911","0.591874967628781","","2.691782417310586","5.626282655694554","5.41112133476563","6.171568241087659","17","3.8198058198791385"
"DAL","4.820695633133519","4.275257247230236","5.41112133476563","5.422903697974042","0","3.081905174123899","10","3.8239470234850454","","0.6159645260517114","2.691782417310586","5.41112133476563","3.3983044489677807","6.171568241087659","5.033045317085362","2.6355624453031745","4.0875965853650955","5.422903697974042","17","3.963412056322241"
"MIA","4.1559805781526205","5.449904886295159","2.3429579370494964","4.275257247230236","5.229512204305321","3.1476462165824137","3.899710759263004","10","3.8239470234850454","0.43235758034162136","","6.171568241087659","1.2209576812686382","5.626282655694554","2.3429579370494964","0.6159645260517114","4.1559805781526205","5.229512204305321","17","2.859111063413051"
"NYG","4.0875965853650955","5.34722906211779","0.591874967628781","3.8239470234850454","0.6159645260517114","6.3728674300578305","4.8085908052864","6.936231749438234","","6.171568241087659","10","0.591874967628781","5.422903697974042","2.6355624453031745","5.422903697974042","2.691782417310586","3.3983044489677807","2.6355624453031745","17","5.890634361757913"
"NYJ","5.449904886295159","0.43235758034162136","4.275257247230236","4.163461388813911","5.244396758713982","0.7202805091181113","4.950371867877123","4.1559805781526205","2.3429579370494964","","4.1559805781526205","3.8239470234850454","2.691782417310586","2.3429579370494964","10","5.033045317085362","6.936231749438234","5.244396758713982","17","4.945775523946409"
"DET","2.6355624453031745","5.422903697974042","2.691782417310586","6.936231749438234","4.1559805781526205","","0.16672590831718742","5.244396758713982","0.6159645260517114","3.8239470234850454","5.41112133476563","2.3429579370494964","5.033045317085362","2.691782417310586","5.229512204305321","5.34722906211779","3.8239470234850454","0.6159645260517114","17","2.4969905997458683"
