"Offense","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","Season #G","Season SOS"
"DEN","5.14847221432573","6.6473775744335395","3.265840725003887","3.591053390872002","5.610241627717364","5.090109383973918","5.098681922531317","6.2212651129588625","","10","3.591053390872002","7.64273968958021","10","2.895071713378903","7.899967169657951","1.349338998171414","2.895071713378903","5.090109383973918","17","9.778221169117568"
"CLV","7.64273968958021","5.098681922531317","4.93252180172106","2.9613170638321944","5.090109383973918","6.4587055082107225","10","4.568676542924387","","5.675590267714715","3.802566049962279","3.6688771966744085","6.6473775744335395","4.568676542924387","10","1.418451428122213","2.1445402943624994","4.93252180172106","17","5.455195175049061"
"TB","3.9456576781471258","1.418451428122213","0.9833739013271309","2.895071713378903","2.9613170638321944","4.93252180172106","7.64273968958021","10","0.40587808880990234","6.235946047344447","","0","1.418451428122213","3.265840725003887","4.568676542924387","7.899967169657951","7.64273968958021","2.9613170638321944","17","0"
"KC","7.899967169657951","5.090109383973918","5.610241627717364","3.6688771966744085","3.591053390872002","3.802566049962279","3.265840725003887","","8.065929031898996","7.5353370816858085","5.090109383973918","1.349338998171414","4.568676542924387","4.765782759409387","6.6473775744335395","5.14847221432573","4.765782759409387","3.591053390872002","17","5.799964456330306"
"IND","6.6473775744335395","6.2212651129588625","2.895071713378903","8.256120523233498","4.765782759409387","6.2212651129588625","8.256120523233498","2.1445402943624994","6.072483817078197","4.349565126582686","4.992343034184822","4.93252180172106","3.9456576781471258","","5.497832818725773","5.090109383973918","5.303959153920358","6.6473775744335395","17","6.185893278078469"
"DAL","3.6688771966744085","4.568676542924387","5.303959153920358","2.1445402943624994","1.349338998171414","4.992343034184822","4.883849387924899","7.234751689780631","","1.1910847214013223","5.497832818725773","5.303959153920358","5.610241627717364","6.6473775744335395","6.2212651129588625","4.992343034184822","8.256120523233498","2.1445402943624994","17","4.66326765794781"
"MIA","6.4587055082107225","10","3.802566049962279","4.568676542924387","5.098681922531317","5.497832818725773","4.93252180172106","4.883849387924899","6.933167373296784","0","","6.6473775744335395","3.265840725003887","5.090109383973918","3.802566049962279","0.9833739013271309","6.4587055082107225","5.098681922531317","17","5.159610708412287"
"NYG","8.256120523233498","7.64273968958021","3.9456576781471258","7.234751689780631","0.9833739013271309","10","6.2212651129588625","5.14847221432573","","8.051454137239393","4.883849387924899","3.9456576781471258","2.1445402943624994","4.992343034184822","2.1445402943624994","5.497832818725773","5.610241627717364","4.992343034184822","17","10"
"NYJ","10","0","4.568676542924387","4.93252180172106","4.685835729074376","0.9833739013271309","4.765782759409387","6.4587055082107225","3.126659703733414","","6.4587055082107225","7.234751689780631","5.497832818725773","3.802566049962279","4.883849387924899","6.2212651129588625","5.14847221432573","4.685835729074376","17","5.4836823317589865"
"DET","4.992343034184822","2.1445402943624994","5.497832818725773","5.14847221432573","6.4587055082107225","","3.9456576781471258","4.685835729074376","0","8.76289495704594","5.303959153920358","3.802566049962279","6.2212651129588625","5.497832818725773","5.098681922531317","7.64273968958021","7.234751689780631","0.9833739013271309","17","5.473361757693524"
"GB","5.497832818725773","7.234751689780631","3.6688771966744085","6.4587055082107225","5.303959153920358","5.098681922531317","2.1445402943624994","3.802566049962279","4.325870279984071","4.77906986343486","8.256120523233498","4.992343034184822","7.234751689780631","","1.349338998171414","4.685835729074376","5.497832818725773","4.883849387924899","17","4.64547803394785"
