"Ovr","Name","Team","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18"
"42.1","Chad Beebe","MIN","","","1.2","0","1.6","2.3","","2.1","0","2.6","0","15.8","2","0","3.1","0","11.4",""
"4.5","Tavon Austin","GB","","","","","","","","","","","","","","1.8","0","1.5","1.2",""
"178.5","D.J. Moore","CAR","7.4","16","7.5","6.9","17.3","11.8","23.3","6.5","2.8","17.6","18.3","8.1","","","16.2","6.2","12.6",""
"189.8","Marvin Jones Jr.","DET","7.5","10.3","6.6","1.4","","1.8","10.5","17.4","11.8","19.6","7.1","7.8","21.6","6.8","22.2","3.4","34",""
"237.1","Calvin Ridley","ATL","29.4","26.4","14.2","0","17.6","15.9","15.4","5.7","","","11.5","14","13.3","22.4","27.3","14.8","9.2",""
"11.7","Parris Campbell","IND","11","0.7","","","","","","","","","","","","","","","",""
"12.1","Lil'Jordan Humphrey","NO","","","","","","","","","","","","","","","9.9","0","2.2",""
"20.5","Alshon Jeffery","PHI","","","","","","","","","","0","0","2.5","0","8","7.3","2.7","",""
"0","Jeff Badet","WAS","","","","","","","0","","0","0","","","","","","","",""
"3","Antonio Gandy-Golden","WAS","","0.8","2.2","0","0","0","","","","","","","","","","0","",""
"37.8","DeSean Jackson","PHI","5.6","9.4","2.1","","","","6.1","","","","","","","","","14.6","",""
"0","Stanley Morgan Jr.","CIN","","","","","","","","","","","","","","0","0","0","0",""
"8.1","Courtland Sutton","DEN","","8.1","","","","","","","","","","","","","","","",""
"30.8","Bryan Edwards","LV","1.4","5.2","5.8","","","","","","0","2.1","0.6","2","0","0","0","1.6","12.1",""
"68.3","Golden Tate","NYG","","7.2","6.1","4","6.2","1.6","10.4","10.1","","5.4","","5.6","5","4.4","2.3","","",""
"77.7","Willie Snead IV","BLT","14.4","3.9","1.4","3","0","3.7","","13.1","5.7","20.9","3.8","","","4.4","0","3.4","",""
"12.9","Justin Watson","TB","1.1","5.8","","6","","0","0","0","","0","","0","","0","","","",""
"0","Duke Williams","BUF","","","","","","","0","","","","","","","","","","",""
"75.1","K.J. Hamler","DEN","","7.2","4.3","0","","","4.4","8.8","12","7","5.5","-0.8","3.9","21.6","0.9","0.3","",""
"179.8","Diontae Johnson","PIT","8.7","19.2","0.9","","0.3","","24.5","1.1","11.1","20.6","17.1","8.6","17.1","6","15.9","17.6","11.1",""
"43.4","Olamide Zaccheaus","ATL","0","1.5","6.1","12.6","1.8","0","0","0","18.3","","1.5","1.6","","","","","",""
"8.5","Ja'Marcus Bradley","CLV","","","","","","","","","","","","","0","0","","8.5","",""
"10.2","Austin Carr","NO","","","","","","","1.1","1.5","","","","0","","","","0","7.6",""
"52.8","DaeSean Hamilton","DEN","2.3","1","0","1.4","","0","3.6","16.2","2.2","11.3","0","0","0","1.8","0","10.2","2.8",""
"103.3","Jakobi Meyers","NE","0","1.2","0","","","","8.2","8.8","22.9","8.4","5.3","7.7","2.5","6.7","14.6","6.5","10.5",""
"84.1","Breshad Perriman","NYJ","3.2","2.2","","","","8.2","3.7","","24.6","","12.4","9.9","2.7","4.1","2.6","0.6","9.9",""
"1.9","James Proche","BLT","0","","","0","0","","","0","0","","1.9","0","0","","0","","",""
"31.8","Marquez Callaway","NO","","0","0","2.1","5.4","","11.5","","2.1","0","0","0","","","","4.1","6.6",""
"33.5","Mohamed Sanu","DET","","0","1.4","0","","","","","","","0","11.2","4.6","4.7","5.8","3.2","2.6",""
"185.9","Chase Claypool","PIT","5.7","16.3","2.9","","39.1","16.1","0.3","12.7","11.3","19.3","13.9","8.2","4.8","3","6.3","7.4","18.6",""
"0","Dezmon Patmon","IND","","","","","","","","","","","","","","","","","0",""
"4.5","Lawrence Cager","NYJ","","","4.5","0","","","","","","","","","","","","","",""
"44.3","Andy Isabella","ARZ","0","7.7","18.1","1.3","4","0","1.2","","2","1.9","1.1","5.3","1.7","","","","0",""
"160.9","Corey Davis","TEN","13.6","11.1","9.4","","","","12.5","22.8","0","9.2","13.8","8.5","29.7","4.9","19","0","6.4",""
"1.7","Cody Hollister","TEN","0","","","","1.7","","","","","","","","","","","","",""
"6","Isaiah Zuber","NE","","","1.3","0.8","","2.1","","1.8","","","","","","","","","",""
"0","Rico Gafford","LV","","","","","0","","0","","","","","","","","","","",""
"84.2","James Washington","PIT","10.4","3.7","6.1","","4","14.8","0","0","8.2","4","1.7","2.9","15","10.4","0","3","0",""
"134.3","Emmanuel Sanders","NO","9","2.3","13.6","12.3","18.2","","","","11.8","1","8.6","0.9","6.4","12.3","9.6","11.5","16.8",""
"119.4","Gabriel Davis","BUF","2.6","7.1","10.1","9.1","8.3","1.2","1.6","0","15","0","","15.4","14.3","9.4","2.8","4.8","17.7",""
