"Ovr","Name","Team","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18"
"43.5","Darrel Williams","KC","4","1.7","1.7","0.2","2.4","10.6","0","3.1","0.8","","3.7","0","4.8","0","0.5","9.3","0.7",""
"14.5","Tarik Cohen","CHI","5.7","3.2","5.6","","","","","","","","","","","","","","",""
"49.9","Mark Ingram II","BLT","2.9","14.7","3","10.2","5.7","2","","","","3.9","0.2","","3.4","0","","","3.9",""
"1.2","Craig Reynolds","JAX","","","","","","","","","","","","","","","","1.2","",""
"6.4","Trenton Cannon","CAR","","","","","-0.1","3.7","0.7","","","0","0","2.3","","-0.2","","0","0",""
"19.5","D'Ernest Johnson","CLV","0.5","0","","9.5","4.1","0.1","0.3","1.6","","","0","0","1","","2.4","","",""
"11.9","Jaylen Samuels","PIT","0.8","0.9","0.1","","0","0","0.5","0","","0","","","2.7","4.8","2.1","0","",""
"9.4","Artavis Pierce","CHI","","","","","","","","","0","0.9","","","","","","8.6","-0.1",""
"18.5","Corey Clement","PHI","3.1","0","0.8","0.3","0","0","2.6","3.3","","6.5","","0.6","","0","","0","1.3",""
"8.2","Theo Riddick","LV","","","","1.3","","","","","","","","","1.4","","-0.5","","6",""
"15.7","T.J. Yeldon","BUF","","","1.8","0","13.9","","","","","","","","","","","","",""
"39.2","Alfred Morris","NYG","","","","","","","","2.8","7.6","3.4","","0.8","17","0.7","3.9","1.8","1.2",""
"39.5","Matt Breida","MIA","2.2","4.4","0.4","6.3","6.4","3.2","","1.3","","","0.4","6.3","","","8.6","","",""
